"MegaMenu Contents","MegaMenu Inhalte"
"MegaMenu Settings","MegaMenu Einstellungen"
"Include Responsive Styles","Responsive CSS einbinden"
"Responsive menus in a none responsive theme might not work great if for example your theme is not responsive you may want to set this to no.","Responsive Menüs in nicht responsive Themes könnten nicht gut funktionieren. Wenn Ihr Theme nicht responsive ist, wollen Sie diese Einstellung ggf. auf Nein stellen."
"Serial Key","Seriennummer"
"Menu Name","Menü Name"
"Menu DropDown Type","Menü DropDown Typ"
"Absolute Center (Fullwidth)","Absolut zentriert (volle Breite)"
"Absolute Left","Absolut links"
"Absolute Right","Absolut rechts"
"Relative Center","Relativ zentriert"
"Hang Right","rechts schwebend"
"Hang Left","links schwebend"
"Link Type","Link Typ"
"Default","Standard"
"Internal Link","Interner Link"
"External Link","Externer Link"
"No Link","Kein Link"
"If set this will override the default category name within the menu only.","Wenn definiert, überschreibt dieser Text den Standard Kategorienamen im Menü."
"Section 1 Width","Bereich 1 Breite"
"Section 2 Width","Bereich 2 Breite"
"Section 3 Width","Bereich 3 Breite"
"Section 4 Width","Bereich 4 Breite"
"Section 5 Width","Bereich 5 Breite"
"Section 6 Width","Bereich 6 Breite"
"Section 7 Width","Bereich 7 Breite"
"Section 8 Width","Bereich 8 Breite"
"Section 9 Width","Bereich 9 Breite"
"Section 10 Width","Bereich 10 Breite"
"Section 1 Content","Bereich 1 Inhalt"
"Section 2 Content","Bereich 2 Inhalt"
"Section 3 Content","Bereich 3 Inhalt"
"Section 4 Content","Bereich 4 Inhalt"
"Section 5 Content","Bereich 5 Inhalt"
"Section 6 Content","Bereich 6 Inhalt"
"Section 7 Content","Bereich 7 Inhalt"
"Section 8 Content","Bereich 8 Inhalt"
"Section 9 Content","Bereich 9 Inhalt"
"Section 10 Content","Bereich 10 Inhalt"
"Not Active","Inaktiv"
"%s of %s columns (%s)","%s von %s Spalten (%s)"
"MegaMenu - Category List Section","MegaMenu - Liste von Kategorien"
"Categories","Kategorien"
"Not Selected","Nicht ausgewählt"
"Select and order categories","Kategorien auswählen und sortieren"
"Display On","Anzeigen bei"
"Small (Mobile)","Klein (Smartphone)"
"Medium (Tablet)","Mittel (Tablet)"
"Large (Desktop)","Groß (Desktop)"
"Template","Vorlage"
"Default Categories List","Standard Kategorien Liste"
"Li Only List","nur li Liste"
"Select your categories for this menu block","Kategorien für diesen Menüblock auswählen"
"Drag your categories here","Kategorien hierhin ziehen"
"Your Categories","Ihre Kategorien"
"Default Categories","Standard Kategorien"
"MegaMenu - Featured Category Block","MegaMenu - Block für hervorgehobene Kategorien"
"Add a single featured category for this menu block","Einzelne hervorgehobene Kategorie für diesen Menüblock auswählen"
"Title","Titel"
"Category","Kategorie"
"Select Category...","Kategorie auswählen..."
"Select Image...","Bild auswählen..."
"Category Image","Kategoriebild"
"Default Featured Category Template","Standard Hervorgehobene Kategorie Vorlage"
"MegaMenu - Featured Cms Section","MegaMenu - Hervorgehobener CMS Bereich"
"Cms Image","CMS Bild"
"Cms Page","CMS Seite"
"Select Page...","Seite auswählen..."
"MegaMenu - Featured Product Section","MegaMenu - Hervorgehobene Artikel Bereich"
"Add a featured product","Hervorgehobenen Artikel hinzufügen"
"Product","Artikel"
"Select Product(s)...","Artikel auswählen..."
"MegaMenu - Shop By Attribute List","MegaMenu - Über Attributliste filtern"
"Select Options","Optionen auswählen"
"Select Attribute Options","Attributoptionen auswählen"
"List Columns","Anzahl Spalten"
"Default Shop By List","Standard Filter Liste"
"List Columns","Anzahl Spalten"
"MegaMenu - Static Block","MegaMenu - Statischer Block"
"Add a static block","Statischen Block hinzufügen"
"Block","Block"
"Select Block...","Block auswählen..."
"The Serial Key for TheExtensionLab_MegaMenu is invalid or not present and therefore the functionality of this extension has been limited. (ServerName : %s)","Die Seriennummer für TheExtensionLab_MegaMenu ist ungültig oder nicht vorhanden, sodass die Funktionalität der Extension eingeschränkt wurde. (Server Name : %s)"
"The Serial Key is invalid or not present and therefore the functionality of this extension has been limited. You can enter a serial key at System > Configuration > Catalog > Catalog Navigation (ServerName : %s)","Die Seriennummer ist ungültig oder nicht vorhanden, sodass die Funktionalität der Extension eingeschränkt wurde. Sie können unter System > Konfiguration > Katalog > Katalog Navigation eine Seriennummer eingeben (Server Name : %s)"
"View More","Mehr anzeigen"
"View All %s","Alle anzeigen %s"
"Shop By %s","Filtern nach %s"
